Sno,Gender,ssc_p,hsc_p,degree_p,salary
1,M,0.67,0.91,0.58,1113067.1658531989
2,M,0.7933,0.7833,0.7748,1165799.1285754335
3,M,0.65,0.68,0.64,922584.1795235972
4,M,0.56,0.52,0.52,759079.6612094998
5,M,0.858,0.736,0.733,1069350.4348752322
6,M,0.55,0.498,0.6725,888399.7022309045
7,F,0.46,0.49200000000000005,0.79,912606.5982303286
8,M,0.82,0.64,0.66,956966.9733662759
9,M,0.73,0.79,0.72,1130963.5055847846
10,M,0.58,0.7,0.61,992039.1969012984
11,M,0.58,0.61,0.6,1068903.950718097
12,M,0.696,0.684,0.7829999999999999,1098393.6079460133
13,F,0.47,0.55,0.65,868697.5686390154
14,F,0.77,0.87,0.59,1175923.4600664733
15,M,0.62,0.47,0.5,811812.202533034
16,F,0.65,0.75,0.69,1059586.7064666192
17,M,0.63,0.662,0.6559999999999999,866643.1509777232
18,F,0.55,0.67,0.64,928117.3842090706
19,F,0.63,0.66,0.64,909235.2350224598
20,M,0.6,0.67,0.7,976802.3447351427
21,M,0.62,0.65,0.66,929776.8572678779
22,F,0.79,0.76,0.85,1150443.1135443868
23,F,0.698,0.608,0.7223,1055810.0501477374
24,F,0.774,0.6,0.6474,1043333.7303670143
25,M,0.765,0.977,0.7886,1298664.7000983744
26,F,0.5257999999999999,0.546,0.502,718413.1861224873
27,M,0.71,0.79,0.66,991300.3649070582
28,M,0.63,0.67,0.66,1073101.6077471117
29,M,0.7676000000000001,0.765,0.675,1004476.0577215921
30,M,0.62,0.67,0.58,965650.0132614833
31,F,0.64,0.735,0.73,1094111.0766307034
32,F,0.67,0.53,0.65,864157.7529096816
33,F,0.61,0.81,0.664,1056306.2011224541
34,F,0.87,0.65,0.81,1149213.8743477284
35,M,0.62,0.51,0.52,830531.2846427881
36,F,0.69,0.78,0.72,1121621.3724557676
37,M,0.51,0.44,0.57,762041.5262349914
38,F,0.79,0.76,0.6559999999999999,1110332.1354105766
39,F,0.73,0.58,0.66,979132.3184589484
40,M,0.81,0.68,0.64,1064760.6621373075
41,F,0.78,0.77,0.8,1258331.6199801057
42,F,0.74,0.6315999999999999,0.65,891616.3053007739
43,M,0.49,0.39,0.65,897265.1804249723
44,M,0.87,0.87,0.68,1217211.4448115632
45,F,0.77,0.73,0.81,1177822.1171631515
46,F,0.76,0.64,0.72,934021.1535678371
