Sno,Gender,ssc_p,hsc_p,degree_p,salary
1,M,67,91,58,270000
2,M,79.33,78.33,77.48,200000
3,M,65,68,64,250000
4,M,56,52,52,
5,M,85.8,73.6,73.3,425000
6,M,55,49.8,67.25,
7,F,46,49.2,79,
8,M,82,64,66,252000
9,M,73,79,72,231000
10,M,58,70,61,
11,M,58,61,60,260000
12,M,69.6,68.4,78.3,250000
13,F,47,55,65,
14,F,77,87,59,218000
15,M,62,47,50,
16,F,65,75,69,200000
17,M,63,66.2,65.6,300000
18,F,55,67,64,
19,F,63,66,64,
20,M,60,67,70,236000
21,M,62,65,66,265000
22,F,79,76,85,393000
23,F,69.8,60.8,72.23,360000
24,F,77.4,60,64.74,300000
25,M,76.5,97.7,78.86,360000
26,F,52.58,54.6,50.2,
27,M,71,79,66,240000
28,M,63,67,66,265000
29,M,76.76,76.5,67.5,350000
30,M,62,67,58,
31,F,64,73.5,73,250000
32,F,67,53,65,
33,F,61,81,66.4,278000
34,F,87,65,81,260000
35,M,62,51,52,
36,F,69,78,72,300000
37,M,51,44,57,
38,F,79,76,65.6,320000
39,F,73,58,66,240000
40,M,81,68,64,411000
41,F,78,77,80,287000
42,F,74,63.16,65,
43,M,49,39,65,
44,M,87,87,68,300000
45,F,77,73,81,200000
46,F,76,64,72,
47,F,70.89,71.98,65.6,
48,M,63,60,57,204000
49,M,63,62,68,250000
50,F,50,37,52,
51,F,75.2,73.2,68.4,200000
52,M,54.4,61.12,56.2,
53,F,40.89,45.83,53,
54,M,80,70,72,450000
55,F,74,60,69,216000
56,M,60.4,66.6,65,220000
57,M,63,71.4,61.4,240000
58,M,68,76,74,360000
59,M,74,62,68,268000
60,M,52.6,65.58,72.11,265000
61,M,74,70,72,260000
62,M,84.2,73.4,66.89,300000
63,F,86.5,64.2,67.4,240000
64,M,61,70,64,
65,M,80,73,75,240000
66,M,54,47,57,
67,M,83,74,66,275000
68,M,80.92,78.5,67,275000
69,F,69.7,47,72.7,
70,M,73,73,66,275000
71,M,82,61,62,360000
72,M,75,70.29,71,240000
73,M,84.86,67,78,240000
74,M,64.6,83.83,71.72,218000
75,M,56.6,64.8,70.2,336000
76,F,59,62,77.5,
77,F,66.5,70.4,71.93,230000
78,M,64,80,65,500000
79,M,84,90.9,64.5,270000
80,F,69,62,66,
81,F,69,62,69,240000
82,M,81.7,63,67,300000
83,M,63,67,74,
84,M,84,79,68,300000
85,M,70,63,70,300000
86,F,83.84,89.83,77.2,400000
87,M,62,63,64,220000
88,M,59.6,51,60,
89,F,66,62,73,210000
90,F,84,75,69,210000
91,F,85,90,82,300000
92,M,52,57,50.8,
93,F,60.23,69,66,230000
94,M,52,62,54,
95,M,58,62,64,260000
96,M,73,78,65,420000
97,F,76,70,76,300000
98,F,70.5,62.5,61,
99,F,69,73,65,220000
100,M,54,82,63,
101,F,45,57,58,
102,M,63,72,68,380000
103,F,77,61,68,300000
104,M,73,78,73,240000
105,M,69,63,65,360000
