Sno,Gender,ssc_p,hsc_p,degree_p,salary
1,M,67.0,91.0,58.0,107100000.0
2,M,79.33,78.33,77.48,117385000.0
3,M,65.0,68.0,64.0,98400000.0
4,M,56.0,52.0,52.0,79600000.0
5,M,85.8,73.6,73.3,115100000.0
6,M,55.0,49.8,67.25,87250000.0
7,F,46.0,49.2,79.0,90400000.0
8,M,82.0,64.0,66.0,104400000.0
9,M,73.0,79.0,72.0,111900000.0
10,M,58.0,70.0,61.0,94800000.0
11,M,58.0,61.0,60.0,89700000.0
12,M,69.6,68.4,78.3,109020000.0
13,F,47.0,55.0,65.0,85300000.0
14,F,77.0,87.0,59.0,109700000.0
15,M,62.0,47.0,50.0,78300000.0
16,F,65.0,75.0,69.0,104900000.0
17,M,63.0,66.2,65.6,97660000.0
18,F,55.0,67.0,64.0,93900000.0
19,F,63.0,66.0,64.0,96600000.0
20,M,60.0,67.0,70.0,99500000.0
21,M,62.0,65.0,66.0,96900000.0
22,F,79.0,76.0,85.0,120600000.0
23,F,69.8,60.8,72.23,101658000.0
24,F,77.4,60.0,64.74,99804000.0
25,M,76.5,97.7,78.86,126766000.0
26,F,52.58,54.6,50.2,78452000.0
27,M,71.0,79.0,66.0,107500000.0
28,M,63.0,67.0,66.0,98300000.0
29,M,76.76,76.5,67.5,109454000.0
30,M,62.0,67.0,58.0,93100000.0
31,F,64.0,73.5,73.0,106150000.0
32,F,67.0,53.0,65.0,92300000.0
33,F,61.0,81.0,66.4,104740000.0
34,F,87.0,65.0,81.0,115900000.0
35,M,62.0,51.0,52.0,81500000.0
36,F,69.0,78.0,72.0,109800000.0
37,M,51.0,44.0,57.0,76600000.0
38,F,79.0,76.0,65.6,108960000.0
39,F,73.0,58.0,66.0,97800000.0
40,M,81.0,68.0,64.0,104800000.0
41,F,78.0,77.0,80.0,117700000.0
42,F,74.0,63.16,65.0,100180000.0
43,M,49.0,39.0,65.0,78100000.0
44,M,87.0,87.0,68.0,119100000.0
45,F,77.0,73.0,81.0,115900000.0
46,F,76.0,64.0,72.0,105600000.0
47,F,70.89,71.98,65.6,103706000.0
48,M,63.0,60.0,57.0,89400000.0
49,M,63.0,62.0,68.0,97000000.0
50,F,50.0,37.0,52.0,69700000.0
51,F,75.2,73.2,68.4,107720000.0
52,M,54.4,61.12,56.2,86040000.0
53,F,40.89,45.83,53.0,71071000.0
54,M,80.0,70.0,72.0,110200000.0
55,F,74.0,60.0,69.0,101000000.0
56,M,60.4,66.6,65.0,96460000.0
57,M,63.0,71.4,61.4,97740000.0
58,M,68.0,76.0,74.0,109600000.0
59,M,74.0,62.0,68.0,101400000.0
60,M,52.6,65.58,72.11,97096000.0
61,M,74.0,70.0,72.0,107800000.0
62,M,84.2,73.4,66.89,110514000.0
63,F,86.5,64.2,67.4,107140000.0
64,M,61.0,70.0,64.0,97800000.0
65,M,80.0,73.0,75.0,113500000.0
66,M,54.0,47.0,57.0,79300000.0
67,M,83.0,74.0,66.0,109800000.0
68,M,80.92,78.5,67.0,111818000.0
69,F,69.7,47.0,72.7,95000000.0
70,M,73.0,73.0,66.0,105300000.0
71,M,82.0,61.0,62.0,100500000.0
72,M,75.0,70.29,71.0,107745000.0
73,M,84.86,67.0,78.0,114244000.0
74,M,64.6,83.83,71.72,110787000.0
75,M,56.6,64.8,70.2,97160000.0
76,F,59.0,62.0,77.5,101100000.0
77,F,66.5,70.4,71.93,104958000.0
78,M,64.0,80.0,65.0,104600000.0
79,M,84.0,90.9,64.5,117750000.0
80,F,69.0,62.0,66.0,98200000.0
81,F,69.0,62.0,69.0,100000000.0
82,M,81.7,63.0,67.0,104380000.0
83,M,63.0,67.0,74.0,103100000.0
