Pizza Diameter,Topping,BreadType,Extra Toppings,Extra Cheese,Price (INR)
14,Pepperoni,Brooklyn,False,False,826
11,Pepperoni,Thin,False,False,619
18,BBQ Chicken,Thick,False,True,1006
15,Jalapeno,Thick,False,True,825
12,Pepperoni,Thin,False,False,680
14,Pineapple,Thick,True,False,797
17,Sausage,Thin,True,False,961
10,Pepperoni,Detroit,False,False,620
14,Sausage,Thin,False,False,795
18,Mushroom,Thick,False,True,975
18,Extra Cheese,Thin,True,True,1028
15,Extra Cheese,Thin,True,True,870
12,Extra Cheese,Thin,True,False,680
11,Pepperoni,Detroit,False,True,739
15,Bell Pepper,Thick,False,False,780
15,Mushroom,Detroit,False,False,865
10,Pepperoni,Detroit,False,False,658
13,Pepperoni,Thick,False,True,779
12,Extra Cheese,Thick,False,False,654
9,Pineapple,Thick,False,True,533
15,Pepperoni,Thick,False,False,833
13,Extra Cheese,Thick,False,True,721
9,Pepperoni,Thin,False,True,544
12,Extra Cheese,Thick,False,False,652
8,Pepperoni,Thick,False,True,525
17,Pineapple,Brooklyn,True,True,1029
13,Mushroom,Thick,False,False,688
16,Ham,Brooklyn,False,False,914
8,Pepperoni,Thick,True,False,526
18,Mushroom,Thick,False,False,953
18,Pepperoni,Thin,False,False,968
17,Ham,Thin,False,True,925
10,Olive,Brooklyn,False,True,611
14,Mushroom,Thin,False,True,758
11,Pineapple,Brooklyn,True,False,688
16,Bell Pepper,Thick,True,False,909
10,Extra Cheese,Thick,True,False,586
12,Extra Cheese,Thin,True,False,670
10,Pepperoni,Brooklyn,True,False,694
14,Pepperoni,Detroit,True,True,939
12,Olive,Thin,False,False,644
16,Ham,Thick,True,False,908
14,Extra Cheese,Thin,False,False,754
9,Mushroom,Thick,False,True,502
11,Mushroom,Detroit,False,False,666
16,Sausage,Brooklyn,False,False,949
9,Olive,Thin,True,False,557
17,Olive,Thin,True,False,953
16,Sausage,Thin,True,False,921
17,Extra Cheese,Thick,True,False,938
12,Pepperoni,Detroit,True,True,836
9,Pepperoni,Thin,True,False,576
11,Olive,Brooklyn,True,False,689
14,Extra Cheese,Thick,True,False,781
15,Pepperoni,Brooklyn,False,False,885
10,Pepperoni,Thick,True,False,633
8,Pineapple,Thick,False,False,438
11,Pepperoni,Detroit,False,False,677
9,Pepperoni,Thick,False,True,570
15,Extra Cheese,Thick,True,False,840
11,Pineapple,Detroit,False,False,646
9,Pineapple,Detroit,False,True,582
13,Pepperoni,Thin,True,False,796
13,Sausage,Thin,False,False,725
17,Pepperoni,Thin,False,False,915
11,Mushroom,Thick,True,False,627
13,Sausage,Thick,True,True,814
9,Extra Cheese,Thin,False,True,517
17,Bell Pepper,Thin,False,True,924
9,Pineapple,Thin,True,False,531
17,Extra Cheese,Thin,True,True,964
11,Pepperoni,Thick,False,True,665
15,Mushroom,Thin,False,True,825
14,Mushroom,Thick,False,False,751
16,Pepperoni,Thin,False,False,869
15,Jalapeno,Thin,False,True,815
12,Mushroom,Brooklyn,False,True,716
9,Olive,Thick,True,False,536
12,Extra Cheese,Thick,True,False,692
15,Sausage,Thick,False,True,865
