age,income,score,purchased,spending
56,28392,48,1,548.22
46,50535,49,1,880.17
32,98603,81,1,2914.48
25,72256,62,1,1605.47
38,55222,69,1,1772.76
56,97373,68,1,2091.37
36,99575,30,0,1348.56
40,83335,40,1,2220.56
28,30965,86,1,357.58
28,44538,79,1,1114.51
41,90592,52,1,1828.36
53,28110,60,1,1118.87
57,99309,71,1,2234.21
41,47266,36,0,1184.45
20,72992,45,1,964.56
39,26910,89,1,2100.37
19,20206,31,0,16.05
41,43419,30,0,1742.07
47,70636,77,1,2013.64
55,70015,41,1,1840.75
19,74268,98,1,2209.57
38,38141,66,1,266.66
50,91910,61,1,2776.4
29,76044,38,0,1542.41
39,87214,48,1,2706.48
42,53827,77,1,1511.92
44,75820,32,0,1621.14
59,82623,49,1,1428.85
45,95450,53,1,1926.25
33,42299,83,1,1571.14
32,63585,62,1,1023.74
20,84044,53,1,1010.58
54,62557,65,1,1309.37
24,69080,67,1,2208.6
38,22693,54,1,1728.51
26,89163,47,1,1757.55
56,45939,95,1,787.37
35,68925,83,1,1726.94
21,62941,64,1,1733.75
42,41834,90,1,1701.63
31,38047,70,1,2271.26
26,46105,62,1,1423.52
43,95766,97,1,3357.05
19,35707,62,1,849.68
37,41976,43,1,1208.8
45,64262,50,1,1373.8
24,43776,77,1,992.52
25,50080,49,1,1189.9
52,86842,37,1,1937.51
31,81373,36,0,1598.47
34,26776,96,1,842.89
53,75016,46,1,2437.72
57,29474,62,1,2127.04
21,78053,77,1,1759.86
19,41959,88,1,1173.98
23,25530,51,1,1096.9
59,23748,59,1,2540.48
21,33545,67,1,1110.98
46,86199,80,1,2748.3
35,54766,83,1,2387.56
43,93530,37,1,2356.63
51,81087,56,1,2517.86
27,88840,56,1,2441.72
53,74384,50,1,2412.94
31,71005,59,1,1290.9
48,66576,57,1,1862.66
32,59353,93,1,1988.67
25,82003,98,1,2438.59
31,72733,90,1,2566.17
40,85318,77,1,2434.81
57,43664,48,1,711.81
38,87172,33,0,2318.1
33,46736,64,1,912.18
35,20854,93,1,637.39
41,58623,78,1,1476.21
43,27392,46,1,851.13
42,75680,73,1,1232.74
58,66717,59,1,2361.79
46,70859,75,1,1352.42
32,46309,35,0,1982.24
18,83734,66,1,1496.2
42,90467,53,1,2841.3
24,72662,75,1,1886.03
26,32688,82,1,283.55
41,45342,89,1,953.36
18,57157,92,1,2320.38
25,87863,61,1,2361.58
41,72083,62,1,1835.29
28,85733,96,1,1170.28
34,54698,47,1,2125.74
25,42671,54,1,2133.63
52,45184,83,1,2318.69
52,62107,87,1,1525.52
50,71663,96,1,2254.66
22,35708,75,1,1401.23
59,69811,53,1,1074.49
56,22811,61,1,1019.47
58,76250,76,1,2614.52
45,92082,52,1,2618.88
24,54754,95,1,1086.5
