date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:08:46	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2020%20Jul%202025%2013:38:46%20GMT	https://livestudent.deccansociety.org/robots.txt		(from )
19:08:47	32409/32409	---M-Z	200	added ('OK')	text/html	date:Sun,%2020%20Jul%202025%2013:38:46%20GMT	https://livestudent.deccansociety.org/	C:/My%20Web%20Sites/FC/livestudent.deccansociety.org/index.html	(from )
19:08:47	1362/1362	---M--	200	added ('OK')	image/png	etag:%228023c3cec1dadb1:0%22	https://livestudent.deccansociety.org/Main2/DES/images/favicon.png	C:/My%20Web%20Sites/FC/livestudent.deccansociety.org/Main2/DES/images/favicon.png	(from https://livestudent.deccansociety.org/)
19:08:47	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2020%20Jul%202025%2013:38:47%20GMT	https://livestudent.deccansociety.org/images/apple-touch-icon.png	C:/My%20Web%20Sites/FC/livestudent.deccansociety.org/images/apple-touch-icon.1.delayed	(from https://livestudent.deccansociety.org/)
19:08:47	31004/31004	---M-Z	200	added ('OK')	text/css	etag:%228023c3cec1dadb1:0%22	https://livestudent.deccansociety.org/Main2/DES/css/font-awesome.min.css	C:/My%20Web%20Sites/FC/livestudent.deccansociety.org/Main2/DES/css/font-awesome.min.css	(from https://livestudent.deccansociety.org/)
19:08:48	121462/121462	---M-Z	200	added ('OK')	text/css	etag:%228023c3cec1dadb1:0%22	https://livestudent.deccansociety.org/Main2/DES/css/bootstrap.min.css	C:/My%20Web%20Sites/FC/livestudent.deccansociety.org/Main2/DES/css/bootstrap.min.css	(from https://livestudent.deccansociety.org/)
19:08:48	6689/6689	---M-Z	200	added ('OK')	text/css	etag:%228023c3cec1dadb1:0%22	https://livestudent.deccansociety.org/Main2/DES/css/style.css	C:/My%20Web%20Sites/FC/livestudent.deccansociety.org/Main2/DES/css/style.css	(from https://livestudent.deccansociety.org/)
19:08:48	88145/88145	---M-Z	200	added ('OK')	application/javascript	etag:%228023c3cec1dadb1:0%22	https://livestudent.deccansociety.org/Main2/DES/js/jquery.min.js	C:/My%20Web%20Sites/FC/livestudent.deccansociety.org/Main2/DES/js/jquery.min.js	(from https://livestudent.deccansociety.org/)
19:08:49	39685/39685	---M-Z	200	added ('OK')	application/javascript	etag:%228023c3cec1dadb1:0%22	https://livestudent.deccansociety.org/Main2/DES/js/bootstrap.min.js	C:/My%20Web%20Sites/FC/livestudent.deccansociety.org/Main2/DES/js/bootstrap.min.js	(from https://livestudent.deccansociety.org/)
19:08:49	1046/1046	---M-Z	200	added ('OK')	application/javascript	etag:%2280846c6d95dbdb1:0%22	https://livestudent.deccansociety.org/Main2/JS/Common.js	C:/My%20Web%20Sites/FC/livestudent.deccansociety.org/Main2/JS/Common.js	(from https://livestudent.deccansociety.org/)
